	PL01	PL02	3D7
PF3D7_0819700	108	64	6
PF3D7_1315000	12	6	2
PF3D7_1363600	80	15	15
PF3D7_1337900	151	58	24
PF3D7_1021000	747	248	243
PF3D7_0703900	865	212	241
PF3D7_1448100	138	34	19
PF3D7_1457600	247	115	21
PF3D7_1336300	3	1	0
PF3D7_1307700	1137	384	624
PF3D7_1240900	59	43	410
PF3D7_1474300	62	33	8
PF3D7_1104500	8	1	2
PF3D7_0530500	1	3	1
PF3D7_1455400	351	101	15
PF3D7_0526100	31	16	1
PF3D7_0617200	3020	1288	494
PF3D7_1232000	84	25	9
PF3D7_0416200	596	189	134
PF3D7_1129800	537	182	191
PF3D7_1018800	41	8	3
PF3D7_0913800	1597	418	246
PF3D7_0201400	0	1	0
PF3D7_1459600	239	83	59
PF3D7_1347700	1745	584	363
PF3D7_1315900	782	291	100
PF3D7_1359700	23	7	8
PF3D7_1131900	7	3	1
PF3D7_1016900	9876	3041	150
PF3D7_1219800	0	0	0
PF3D7_0303200	1217	441	569
PF3D7_0402300	608	129	170
PF3D7_1329800	16	11	2
PF3D7_1135800	16	2	4
PF3D7_0203300	74	30	24
PF3D7_0510600	0	0	0
PF3D7_1225000	36	20	2
PF3D7_0202300	39	15	0
PF3D7_1002400	32118	13904	12243
PF3D7_0416400	3661	1548	1742
PF3D7_1205000	276	94	37
PF3D7_1478300	0	1	0
PF3D7_1208500	29	13	2
PF3D7_0913000	472	163	72
PF3D7_0309100	36	17	0
PF3D7_1362300	452	150	138
PF3D7_1003800	4420	1158	1754
PF3D7_0902200	467	120	22
PF3D7_0311000	0	2	0
PF3D7_0927100	8	7	1
PF3D7_0611300	433	191	51
PF3D7_1471500	24	7	1
PF3D7_1121500	23	9	3
PF3D7_0903300	388	219	74
PF3D7_0532800	0	0	0
__ambiguous	138455	39771	161986
PF3D7_0824900	138	33	10
PF3D7_0732700	0	1	0
PF3D7_0317800	156	59	25
PF3D7_0202700	47	15	3
PF3D7_0112200	354	178	51
PF3D7_0717200	546	257	186
PF3D7_0705100	69	29	27
PF3D7_1479300	0	0	0
PF3D7_1249200	3	4	0
PF3D7_1111100	254	93	51
PF3D7_1339500	3	7	0
PF3D7_1479900	2	1	1
PF3D7_1424800	0	0	0
PF3D7_1217000	0	0	0
PF3D7_0115050	0	0	0
PF3D7_0215400	383	166	62
PF3D7_1365800	68	21	4
PF3D7_1018900	20	5	2
PF3D7_0911500	13	5	0
PF3D7_1411700	193	87	54
PF3D7_0925900	4613	1346	481
PF3D7_1201600	9	7	0
PF3D7_0622000	17	8	1
PF3D7_0501400	9258	2708	10797
PF3D7_1007200	265	77	56
PF3D7_1407100	7566	1743	4820
PF3D7_0912500	4253	1409	671
PF3D7_1017100	137	47	12
PF3D7_1355500	398	136	54
PF3D7_0528500	41	29	2
PF3D7_1456000	337	193	128
PF3D7_1419900	224	75	154
PF3D7_1422200	64	32	24
PF3D7_0512900	2	0	0
PF3D7_1368700	199	102	82
PF3D7_0815900	34	10	12
PF3D7_0306400	187	108	41
PF3D7_1415600	178	83	27
PF3D7_1359300	452	196	126
PF3D7_0731200	110	36	38
PF3D7_0215100	345	99	65
PF3D7_1401100	3408	1425	1325
PF3D7_1032200	2	1	2
PF3D7_0214000	1947	558	278
PF3D7_0511900	22	12	3
PF3D7_1116500	231	86	192
PF3D7_1015800	362	174	21
PF3D7_0600800	0	0	1
PF3D7_1456300	29	8	2
PF3D7_1441100	67183	17779	64103
PF3D7_0904800	381	142	60
PF3D7_0918700	731	192	298
PF3D7_0208300	52	21	6
PF3D7_0303900	69	29	6
PF3D7_1216300	106	51	2
PF3D7_0936600	745	339	289
PF3D7_1463400	118	38	22
PF3D7_1215800	5	0	5
PF3D7_0913100	126	47	26
PF3D7_1424000	0	0	0
PF3D7_1006100	106	21	3
PF3D7_0906910	156	42	9
PF3D7_1306100	30	30	0
PF3D7_1302600	892	243	140
PF3D7_0709050	2	0	0
PF3D7_0900500	1	1	95
PF3D7_0400900	8	10	0
PF3D7_1422100	223	72	19
PF3D7_1411900	161	41	34
PF3D7_1333900	31	11	4
PF3D7_1133100	1262	379	264
PF3D7_0936200	591	248	21
PF3D7_0919700	38	8	1
PF3D7_0405100	1456	516	596
PF3D7_1000100	47	22	397
PF3D7_0109600	155	70	13
PF3D7_1150100	0	0	0
PF3D7_0315400	107	65	5
PF3D7_0311700	94	35	3
PF3D7_0629500	879	252	121
PF3D7_0502200	115	29	11
PF3D7_1242900	229	105	43
PF3D7_0631500	2	0	2
PF3D7_0414300	14	3	4
PF3D7_1119400	315	121	112
PF3D7_0721000	895	292	264
PF3D7_0221800	36	3	2
PF3D7_0415100	8	5	3
PF3D7_1369400	121	37	12
PF3D7_1144500	54	16	7
PF3D7_1134400	102	41	5
PF3D7_0623400	3	2	3
PF3D7_0409700	63	17	9
PF3D7_1127900	151	26	21
PF3D7_0832300	2	0	0
PF3D7_1307200	141	82	20
PF3D7_1218800	12	9	2
PF3D7_0506300	283	94	301
PF3D7_1354600	33	9	1
PF3D7_1246500	25	11	1
PF3D7_0931500	10	4	0
PF3D7_1349700	61	27	19
PF3D7_1239700	1347	580	421
PF3D7_0711400	399	102	119
PF3D7_0423600	1320	521	569
PF3D7_0423900	88	6	11
PF3D7_1244200	923	242	540
PF3D7_1434700	2119	685	1017
PF3D7_0303000	361	133	189
PF3D7_0824700	137	75	66
PF3D7_0526200	221	112	18
PF3D7_1204200	49	9	7
PF3D7_1115700	1303	355	85
PF3D7_0829800	787	144	8
PF3D7_0220400	92	49	12
PF3D7_0607600	354	163	89
PF3D7_0312400	3520	1283	1960
PF3D7_1436300	16498	4764	9043
PF3D7_0803300	42	27	6
PF3D7_1312450	0	0	0
PF3D7_0721200	332	92	72
PF3D7_0626100	131	64	27
PF3D7_0415200	169	53	56
PF3D7_1241400	126	50	9
PF3D7_0723900	2103	748	1030
PF3D7_1203200	112	60	11
PF3D7_1458800	52	16	11
PF3D7_0223200	0	0	0
PF3D7_1342900	80	24	23
PF3D7_1030100	1146	376	242
PF3D7_0709500	17	7	3
PF3D7_0817900	4459	1376	1099
PF3D7_0714100	5	0	1
PF3D7_1434500	2552	901	715
PF3D7_1314800	19	4	3
PF3D7_1137900	10	2	0
PF3D7_1029300	112	36	19
PF3D7_1143600	13	3	0
PF3D7_1032000	120	53	13
PF3D7_0935800	2754	1277	988
PF3D7_0521700	292	92	126
PF3D7_0321400	221	109	129
PF3D7_0213800	25	4	0
PF3D7_0521500	78	33	12
PF3D7_0532900	3	2	5
PF3D7_0321300	6	7	4
PF3D7_0317900	61	24	13
PF3D7_1239600	34	15	6
PF3D7_1362500	53	27	2
PF3D7_1419600	139	48	25
PF3D7_0400400	25	38	209
PF3D7_0815100	77	32	6
PF3D7_0528700	397	121	76
PF3D7_1448300	1292	396	496
PF3D7_0925200	81	37	9
PF3D7_0524600	88	29	10
PF3D7_1355300	156	48	83
PF3D7_API00100	0	0	0
PF3D7_0724300	153	65	41
PF3D7_1341000	0	0	0
PF3D7_1353900	457	182	89
PF3D7_0108700	1062	410	374
PF3D7_1206900	54	18	3
PF3D7_1108100	383	112	113
PF3D7_1406800	2902	1169	3563
PF3D7_0213300	0	0	0
PF3D7_1305600	8	12	1
PF3D7_0301700	680	237	107
PF3D7_1403100	3351	1333	1782
PF3D7_0934000	25	26	5
PF3D7_0319600	1396	529	248
PF3D7_1107200	177	56	13
PF3D7_0409100	592	189	64
PF3D7_0402600	0	3	2
PF3D7_1442500	59	23	4
PF3D7_1146900	59	24	5
PF3D7_1461900	713	261	261
PF3D7_1338200	14097	4968	3746
PF3D7_0527600	326	102	83
PF3D7_0508500	664	289	146
PF3D7_0309600	6198	1782	640
PF3D7_1213400	20	6	4
PF3D7_0531300	33	11	6
PF3D7_1105400	25773	8660	4928
PF3D7_0210200	851	284	420
PF3D7_0917300	49	13	0
PF3D7_1349900	14	7	3
PF3D7_0112800	38	17	10
PF3D7_0700100	66	23	56
PF3D7_1111800	26	8	5
PF3D7_1460900	103	55	32
PF3D7_0817500	3091	1209	986
PF3D7_0216500	57	27	5
PF3D7_1311000	109	44	4
PF3D7_1116600	242	84	31
PF3D7_1220000	2	1	0
PF3D7_1215100	155	34	28
PF3D7_1201300	6	3	0
PF3D7_0822400	213	57	16
PF3D7_0902300	138	54	101
PF3D7_1326700	92	45	3
PF3D7_0409300	125	56	20
PF3D7_1147600	109	42	10
PF3D7_0906100	83	51	18
PF3D7_1408200	1097	420	215
PF3D7_0620200	11	8	8
PF3D7_1321200	64	16	6
PF3D7_1012700	312	133	104
PF3D7_0912400	978	337	67
PF3D7_0617700	1	5	3
PF3D7_0732300	0	0	0
PF3D7_1207500	49	25	6
PF3D7_0305500	2314	854	1920
PF3D7_1447200	3059	1070	1959
PF3D7_0828900	65	33	8
PF3D7_1452200	89	22	16
PF3D7_1421400	303	102	184
PF3D7_1126000	3973	1172	2598
PF3D7_1022900	38	4	1
PF3D7_1109500	1	0	0
PF3D7_1109200	29	10	3
PF3D7_0716200	4561	1329	2806
PF3D7_0211900	83	23	4
PF3D7_1442000	82	24	9
PF3D7_1017600	1380	555	901
PF3D7_0723000	11	2	3
PF3D7_1359800	9	6	2
PF3D7_1227600	1335	608	1098
PF3D7_0905400	9083	3347	3239
PF3D7_1352500	59	29	11
PF3D7_1344100	285	90	102
PF3D7_0313100	336	122	21
PF3D7_0304900	256	108	34
PF3D7_1101200	2	0	0
PF3D7_1469000	15	8	0
PF3D7_0810000	435	198	27
PF3D7_1033600	2161	749	485
PF3D7_0517300	13207	4867	8633
PF3D7_0622900	570	192	169
PF3D7_0521000	196	62	20
PF3D7_1345600	843	255	185
PF3D7_1104400	4345	2009	579
PF3D7_1145800	88	39	16
PF3D7_1404600	25	11	5
PF3D7_1453600	18	5	4
PF3D7_0308400	4	3	1
PF3D7_1427300	120	67	5
PF3D7_1022100	93	39	7
PF3D7_0523200	42	15	4
PF3D7_1031100	7	3	1
PF3D7_0623800	9671	3110	7132
PF3D7_0300300	0	0	0
PF3D7_1461200	300	105	78
PF3D7_1013600	306	131	80
PF3D7_0302500	557	541	1283
PF3D7_1103200	0	0	0
PF3D7_1472100	113	39	24
PF3D7_0914400	626	315	101
PF3D7_1030600	354	164	99
PF3D7_0424600	1834	624	201
PF3D7_1320000	351	126	35
PF3D7_1243600	1968	765	251
PF3D7_1223200	377	142	63
PF3D7_0722800	14	6	3
PF3D7_0914500	391	135	144
PF3D7_0822300	670	237	61
PF3D7_0812300	3	3	0
PF3D7_0610300	0	0	0
PF3D7_1027700	1119	443	137
PF3D7_1407800	6234	2180	1056
PF3D7_1406600	392	176	97
PF3D7_0615400	2308	788	370
PF3D7_1422400	304	89	41
PF3D7_1317100	3654	1623	824
PF3D7_0806500	1717	598	1152
PF3D7_1301500	41	13	11
PF3D7_0217700	181	64	14
PF3D7_1413800	168	50	13
PF3D7_1434100	101	39	6
PF3D7_0715900	299	118	45
PF3D7_0416300	504	177	221
PF3D7_0711200	27	14	2
PF3D7_0201900	2360	782	376
PF3D7_0919200	244	59	58
PF3D7_0219600	861	346	140
PF3D7_1318400	605	281	168
PF3D7_0620800	2	1	0
PF3D7_0415500	1356	421	832
PF3D7_1459500	20	4	2
PF3D7_0607500	5	3	0
PF3D7_1476900	11	4	0
PF3D7_1131600	16	3	2
PF3D7_0419200	0	0	0
PF3D7_1331300	470	179	96
PF3D7_1234100	1143	364	228
PF3D7_0923300	139	23	9
PF3D7_0204800	101	20	9
PF3D7_1304100	863	317	277
PF3D7_0523000	5895	1922	1646
PF3D7_1335100	5282	2565	4640
PF3D7_1203800	8	4	1
PF3D7_0829400	124	80	19
PF3D7_1232200	131	59	30
PF3D7_0414700	56	26	14
PF3D7_1424200	0	0	0
PF3D7_0212200	39	20	7
PF3D7_0323900	0	0	2
PF3D7_0910700	30	4	2
PF3D7_1110900	266	96	96
PF3D7_0728900	139	57	87
PF3D7_1221500	79	27	8
PF3D7_0508900	7771	2683	6779
PF3D7_1250600	132	64	25
PF3D7_1101100	0	4	1
PF3D7_0214800	1689	658	519
PF3D7_1432800	213	100	21
PF3D7_1416900	532	161	209
PF3D7_0605600	100	34	12
PF3D7_0508100	1872	1072	675
PF3D7_0721300	580	209	202
PF3D7_0210100	1554	376	623
PF3D7_1300200	11	7	2
PF3D7_1210100	116	48	21
PF3D7_0110700	2515	764	2761
PF3D7_0112000	37	13	6
PF3D7_1102500	2395	913	201
PF3D7_0828500	149	53	24
PF3D7_1015900	33784	9854	10888
PF3D7_1202700	224	87	34
PF3D7_0701500	0	0	0
PF3D7_1140000	4	1	1
PF3D7_0323300	2	1	0
PF3D7_0937300	1	1	0
PF3D7_0401600	1492	384	123
PF3D7_1243100	541	190	137
PF3D7_1232700	69	32	0
PF3D7_1476300	343	219	213
PF3D7_1366700	121	51	13
PF3D7_1464400	365	141	57
PF3D7_1123800	85	33	12
PF3D7_0902700	1303	437	741
PF3D7_0309800	503	171	652
PF3D7_1212100	45	29	4
PF3D7_0812800	6	1	4
PF3D7_0710000	970	343	349
PF3D7_1465800	158	75	188
PF3D7_1406700	185	64	60
PF3D7_1352000	176	70	43
PF3D7_1112400	85	36	15
PF3D7_1360100	202	74	36
PF3D7_1113500	337	112	45
PF3D7_0209800	3806	1177	765
PF3D7_1472500	80	17	54
PF3D7_0906800	51	20	11
PF3D7_1331200	530	190	118
PF3D7_0522900	67	20	10
PF3D7_0615300	35	21	3
PF3D7_1254700	10	6	0
PF3D7_1300300	15	21	830
PF3D7_0815700	18	8	2
PF3D7_1216100	4	2	0
PF3D7_1335700	746	255	255
PF3D7_1435000	182	56	21
PF3D7_0211800	4104	1382	763
PF3D7_1450200	20	6	2
PF3D7_0602900	504	158	127
PF3D7_0207600	11007	8461	5374
PF3D7_1413900	312	147	77
PF3D7_0619000	1857	736	729
PF3D7_0514200	221	106	22
PF3D7_0507600	807	206	132
PF3D7_1120700	61	22	10
PF3D7_1147200	27	7	1
PF3D7_1410900	194	79	33
PF3D7_1252700	522	244	72
PF3D7_1105800	1220	364	115
PF3D7_1020700	265	117	25
PF3D7_0104200	2013	526	188
PF3D7_1215900	545	207	87
PF3D7_1145300	46	16	3
PF3D7_1207700	72	18	7
PF3D7_0505700	1218	347	430
PF3D7_0220900	2	1	0
PF3D7_0919300	168	66	25
PF3D7_0510500	303	89	28
PF3D7_1326000	368	138	105
PF3D7_1127800	280	147	77
PF3D7_1465600	9	1	0
PF3D7_0203400	660	240	221
PF3D7_0512000	310	126	34
PF3D7_0621000	55	24	1
PF3D7_1141500	5	2	0
PF3D7_0926100	3098	1008	1374
PF3D7_1012900	1205	428	133
PF3D7_0801500	160	53	25
PF3D7_0307400	202	64	45
PF3D7_0220200	2013	711	117
PF3D7_1302050	1	2	0
PF3D7_0503600	2092	439	443
PF3D7_0702000	342	109	93
PF3D7_0600100	2	2	0
PF3D7_0811400	3041	1094	1665
PF3D7_1254100	0	0	1
PF3D7_0826900	361	102	262
PF3D7_0101100	0	0	0
PF3D7_1224500	863	450	38
PF3D7_0112100	1	2	0
PF3D7_0936900	1112	312	64
PF3D7_0920300	13	6	0
PF3D7_0929800	0	0	0
PF3D7_0217100	2746	1103	1265
PF3D7_1007500	24	5	0
PF3D7_0412700	34	22	3955
PF3D7_1230800	1729	595	986
PF3D7_0320900	9384	3533	1926
PF3D7_0631600	0	0	0
PF3D7_0416900	208	81	41
PF3D7_1011800	17013	5562	3799
PF3D7_1140700	716	234	328
PF3D7_1118900	6	2	3
PF3D7_1019500	464	171	215
PF3D7_0214900	1312	525	411
PF3D7_1033400	6336	2006	688
PF3D7_1210900	10	10	0
PF3D7_1477200	8	6	0
PF3D7_0626500	14	8	3
PF3D7_1032800	10	3	3
PF3D7_1013200	386	154	113
PF3D7_1438600	111	27	5
PF3D7_0910300	78	19	22
PF3D7_0109700	146	39	27
PF3D7_1353100	2832	1092	2440
PF3D7_1343600	13	4	3
PF3D7_1252600	794	247	475
PF3D7_1225600	312	108	90
PF3D7_0517700	5677	1412	1025
PF3D7_1027900	74	20	15
PF3D7_1013000	30	10	0
PF3D7_0413200	1	1	0
PF3D7_0816500	12	7	3
PF3D7_1339600	39	9	9
PF3D7_0919600	8	5	2
PF3D7_0930300	22699	7184	8486
PF3D7_0521300	95	25	17
PF3D7_1025900	371	169	82
PF3D7_1339400	41	9	7
PF3D7_1214300	214	75	186
PF3D7_0305300	1680	502	167
PF3D7_1453300	2	1	0
PF3D7_1409900	2310	745	500
PF3D7_1124100	498	179	217
PF3D7_0415600	16	2	7
PF3D7_1247600	2	0	0
PF3D7_0930700	143	55	11
PF3D7_1403700	75	26	7
PF3D7_0524100	164	56	23
PF3D7_0315700	36	8	1
PF3D7_1338000	161	63	11
PF3D7_1009900	104	36	4
PF3D7_1357900	641	179	114
PF3D7_1110800	57	27	8
PF3D7_0303400	88	37	2
PF3D7_1422700	1867	673	751
PF3D7_0621600	0	0	0
PF3D7_1432100	239	102	15
PF3D7_1466700	83	25	7
PF3D7_0929400	5015	2665	1291
PF3D7_0223400	2	4	1
PF3D7_1310500	79	43	6
PF3D7_0418200	1834	497	772
PF3D7_0210600	484	125	190
PF3D7_0901900	1	0	0
PF3D7_1021800	1859	798	561
PF3D7_1215500	1	4	0
PF3D7_1001300	23	11	5
PF3D7_1244500	0	0	0
PF3D7_API01900	0	0	0
PF3D7_1419000	304	122	49
PF3D7_1429500	83	30	17
PF3D7_1348300	299	111	119
PF3D7_0425300	3	0	0
PF3D7_0932800	925	371	41
PF3D7_0615100	22	7	0
PF3D7_0604700	434	146	356
PF3D7_1209400	720	176	139
PF3D7_0308300	231	58	83
PF3D7_1039800	0	0	0
PF3D7_1131400	74	29	6
PF3D7_1107700	2190	838	242
PF3D7_0824800	202	95	53
PF3D7_0809700	20	13	1
PF3D7_1209700	24	6	3
PF3D7_0723800	2497	1474	1236
PF3D7_1021900	1227	453	232
PF3D7_1460500	240	94	43
PF3D7_1253400	0	0	0
PF3D7_0611400	99	46	22
PF3D7_1451600	42	11	4
PF3D7_1436000	3400	1274	750
PF3D7_0730500	1043	331	1244
PF3D7_0530400	107	32	24
PF3D7_0923600	26	11	3
PF3D7_0403800	1232	347	277
PF3D7_0306700	75	31	16
PF3D7_1449200	265	109	97
PF3D7_1206200	16319	4615	6653
PF3D7_0508000	554	259	121
PF3D7_1450100	1131	428	166
PF3D7_0401800	2116	1644	1322
PF3D7_1467300	49	18	5
PF3D7_0937800	15	15	149
PF3D7_0530750	0	0	0
PF3D7_0218700	407	134	43
PF3D7_1313500	119	38	15
PF3D7_1359600	1977	794	465
PF3D7_0706400	2968	1029	1151
PF3D7_0830100	191	77	20
PF3D7_1349000	27	12	1
PF3D7_1334200	260	115	42
PF3D7_0811000	428	156	176
PF3D7_0804700	50	24	6
PF3D7_1133300	15	7	2
PF3D7_0904700	234	80	27
PF3D7_0312000	112	55	16
PF3D7_0529400	1282	605	516
PF3D7_1418900	411	152	122
PF3D7_1148900	1070	493	161
PF3D7_1028300	184	86	16
PF3D7_1240700	0	1	0
PF3D7_1310000	0	1	0
PF3D7_1341500	52	17	2
PF3D7_0300200	1	9	0
PF3D7_1323700	3510	1239	2615
PF3D7_1243900	208	121	80
PF3D7_1327300	1032	327	92
PF3D7_1476200	1618	562	520
PF3D7_0730600	0	0	0
PF3D7_1229000	44	20	7
PF3D7_0826500	828	376	226
PF3D7_0723500	8	2	1
PF3D7_1024700	431	144	103
PF3D7_1225300	161	51	56
PF3D7_0532500	45	19	7
PF3D7_1201700	5	3	3
PF3D7_1142900	15	6	1
PF3D7_1111300	98	45	10
PF3D7_0210300	71	35	28
PF3D7_0627200	7	3	1
PF3D7_0729700	6	4	3
PF3D7_1213200	120	43	2
PF3D7_1023700	4	1	0
PF3D7_1402700	914	263	164
PF3D7_1012500	541	167	145
PF3D7_0421900	55	25	2
PF3D7_1235400	174	81	61
PF3D7_0104000	3	2	0
PF3D7_0731100	2609	822	510
PF3D7_1141100	55	17	7
PF3D7_1470800	152	72	18
PF3D7_1219900	516	163	31
PF3D7_1428900	316	112	82
PF3D7_0816700	47	20	3
PF3D7_0909600	61	27	16
PF3D7_0632800	12	4	375
PF3D7_1307400	10	2	3
PF3D7_1213700	407	138	30
PF3D7_1020500	38	9	3
PF3D7_1438500	230	93	31
PF3D7_1205600	2787	795	455
PF3D7_1428500	119	69	66
PF3D7_1133600	16	8	1
PF3D7_1122700	15	17	2
PF3D7_0422300	12706	3613	1078
PF3D7_0320500	557	174	511
PF3D7_1208100	151	38	14
PF3D7_0523300	381	109	60
PF3D7_1329200	129	58	15
PF3D7_1245900	5	1	0
PF3D7_0506800	650	303	368
PF3D7_0527100	301	124	20
PF3D7_1008700	20543	6524	6314
PF3D7_1472400	110	36	11
PF3D7_0524700	144	41	6
PF3D7_0911000	56	14	6
PF3D7_1234500	256	70	73
PF3D7_1245600	59	16	6
PF3D7_0510300	31	13	2
PF3D7_1008800	1472	477	187
PF3D7_1408900	46	16	7
PF3D7_1335500	6	2	2
PF3D7_1421100	177	68	24
PF3D7_0809200	62	34	15
PF3D7_1209500	55	27	12
PF3D7_0800900	7	4	1
PF3D7_1130500	205	76	22
PF3D7_1241100	240	76	19
PF3D7_1213600	424	149	13
PF3D7_1439800	522	268	58
PF3D7_0916700	8300	2638	3647
PF3D7_1115200	1922	763	854
PF3D7_1016300	20049	7700	4794
PF3D7_0628800	82	32	9
PF3D7_1460700	2862	1049	132
PF3D7_0825100	0	1	0
PF3D7_0407300	358	118	324
PF3D7_1451400	112	35	10
PF3D7_1329500	6421	2253	5942
PF3D7_0901100	0	0	0
PF3D7_1423500	39	19	2
PF3D7_1317700	32	21	3
PF3D7_API05300	0	0	0
PF3D7_1327700	96	30	13
PF3D7_1308800	285	106	86
PF3D7_0708400	25577	8240	9401
PF3D7_1365500	193	66	14
PF3D7_1427200	8	1	0
PF3D7_1350100	3154	806	859
PF3D7_1325000	267	79	99
PF3D7_0704800	417	129	90
PF3D7_1451900	314	66	91
PF3D7_1240300	421	16	259
PF3D7_0222300	0	0	0
PF3D7_1411100	155	37	7
PF3D7_1126300	186	58	5
PF3D7_1004700	26	16	3
PF3D7_0932000	23	11	3
PF3D7_0826200	3	5	1
PF3D7_1027200	144	62	22
PF3D7_1407500	30	6	6
PF3D7_0622700	62	14	6
PF3D7_0516500	103	40	6
PF3D7_1304000	1080	392	375
PF3D7_0815400	100	38	8
PF3D7_0726400	195	68	16
PF3D7_1335400	794	249	194
PF3D7_0308500	440	188	52
PF3D7_1436900	37	13	1
PF3D7_0204500	385	139	39
PF3D7_0411200	50	15	10
PF3D7_1445700	1709	639	160
PF3D7_1364100	559	274	74
PF3D7_0422900	52	26	6
PF3D7_1225500	24	11	2
PF3D7_0403000	0	0	0
PF3D7_0920600	206	80	43
PF3D7_0715600	348	157	86
PF3D7_0505800	3161	1095	2148
PF3D7_1310200	69	37	33
PF3D7_1226400	233	65	29
PF3D7_1221700	50	20	6
PF3D7_1335200	35	8	0
PF3D7_0812500	4265	1410	911
PF3D7_1140900	60	27	62
PF3D7_1327900	4	0	0
PF3D7_0414200	12	10	4
PF3D7_0524400	1145	346	665
PF3D7_0915900	37	16	31
PF3D7_0612400	16	11	6
PF3D7_1351100	156	59	25
PF3D7_1351200	305	136	41
PF3D7_1337200	430	139	33
PF3D7_1116100	281	135	100
PF3D7_0316100	114	33	11
PF3D7_1231600	254	95	192
PF3D7_1328200	143	56	8
PF3D7_0514500	16	7	2
PF3D7_1327100	4	2	0
PF3D7_1037100	44	17	7
PF3D7_1018500	410	118	105
PF3D7_1422000	205	92	13
PF3D7_1468700	33121	9226	6376
PF3D7_1128500	217	60	16
PF3D7_1303700	30	16	8
PF3D7_1224700	179	75	22
PF3D7_1119900	177	67	24
PF3D7_0608200	0	0	0
PF3D7_0726700	77	24	7
PF3D7_1144900	901	426	188
PF3D7_1404400	77	18	7
PF3D7_0620300	12	10	4
PF3D7_1441400	3915	1153	3874
PF3D7_1105600	2011	634	1788
PF3D7_1036500	3870	1099	1596
PF3D7_1321800	160	66	19
PF3D7_0810700	10	5	3
PF3D7_1136800	155	75	12
PF3D7_1015700	15	4	1
PF3D7_0632500	76	29	669
PF3D7_1420400	1753	696	626
PF3D7_1407600	31	4	1
PF3D7_0703100	125	42	28
PF3D7_0631300	0	0	0
PF3D7_1431300	680	196	599
PF3D7_0913150	1	1	0
PF3D7_1349600	97	38	9
PF3D7_1361800	8416	2745	2831
PF3D7_0906400	12	3	3
PF3D7_0510200	206	107	33
PF3D7_0935390	3	1	0
PF3D7_1035100	373	173	86
PF3D7_0421700	9	4	0
PF3D7_1321500	1219	479	736
PF3D7_0829700	10	5	3
PF3D7_0216000	253	91	37
PF3D7_0309700	209	92	42
PF3D7_1464500	482	137	101
PF3D7_1355600	33	6	2
PF3D7_1102200	1	0	0
PF3D7_0907900	796	284	157
PF3D7_1237200	1994	451	1143
PF3D7_0415000	314	135	125
PF3D7_0106600	8	3	0
PF3D7_0806100	26	7	7
PF3D7_1246200	21692	6584	9609
PF3D7_1109100	26	11	3
PF3D7_0716700	23	13	6
PF3D7_0405500	71	14	6
PF3D7_0832800	0	0	0
PF3D7_1422600	63	26	12
PF3D7_1312900	1918	642	708
PF3D7_0914700	1229	454	399
PF3D7_1224900	68	39	9
PF3D7_1220300	121	60	18
PF3D7_1314000	41	27	3
PF3D7_0314900	62	44	11
PF3D7_0205400	222	71	18
PF3D7_1457200	937	377	94
PF3D7_1010900	33	10	9
PF3D7_0422500	4515	1393	2467
PF3D7_1336700	5919	1580	3235
PF3D7_1120800	34	10	10
PF3D7_0937400	1	3	0
PF3D7_0826700	12279	4710	3413
PF3D7_1219400	403	28	103
PF3D7_1249400	329	186	70
PF3D7_0528100	1693	473	172
PF3D7_1411800	17	5	2
PF3D7_1023100	26	5	0
PF3D7_0906600	2271	758	458
PF3D7_1212200	31	8	2
PF3D7_1142400	469	170	36
PF3D7_1125500	151	63	8
PF3D7_0402100	2444	654	373
PF3D7_0908700	61	24	10
PF3D7_1229700	4	1	1
PF3D7_0607200	22	10	5
PF3D7_0627400	54	10	1
PF3D7_1449300	589	219	278
PF3D7_0812200	10	2	0
PF3D7_0623200	114	28	12
PF3D7_0706300	16	5	2
PF3D7_1235300	1205	437	466
PF3D7_0832200	323	107	175
PF3D7_0111400	115	51	15
PF3D7_0804500	1435	536	302
PF3D7_1342500	13	8	1
PF3D7_1011600	68	25	5
PF3D7_0314100	522	152	283
PF3D7_1469800	24	12	0
PF3D7_1434900	10	1	0
PF3D7_1245700	10	3	1
PF3D7_0718000	105	23	18
PF3D7_0908200	255	98	66
PF3D7_1236100	795	240	116
PF3D7_0522100	81	38	7
PF3D7_0208500	65	28	8
PF3D7_0410700	595	292	62
PF3D7_1423000	207	81	32
PF3D7_1221800	127	49	11
PF3D7_1437400	508	205	65
PF3D7_1363700	40	27	11
PF3D7_0409600	668	264	173
PF3D7_0618300	4629	1626	509
PF3D7_1416800	108	38	19
PF3D7_0802300	2848	680	3260
PF3D7_1231300	67	17	41
PF3D7_0828600	181	81	51
PF3D7_0411700	0	0	0
PF3D7_0601900	318	173	16
PF3D7_1356400	113	50	26
PF3D7_1114700	1314	528	398
PF3D7_0718300	4	2	2
PF3D7_0316600	3043	1144	347
PF3D7_1129000	615	261	60
PF3D7_1140500	62	18	5
PF3D7_1330100	507	169	136
PF3D7_0812600	190	73	27
PF3D7_1478000	374	261	23
PF3D7_0630600	345	148	83
PF3D7_1401300	351	93	8
PF3D7_1365300	555	210	49
PF3D7_1446200	803	417	107
PF3D7_0503200	139	66	23
PF3D7_0811100	17	6	0
PF3D7_0115150	1	0	0
PF3D7_0914100	487	147	171
PF3D7_0832400	0	0	0
PF3D7_0107300	21	8	3
PF3D7_0100300	1	5	25
