	T5	T10	T15	T20	T25	T30	T35	T40
PF3D7_1442100	66	8	3	50	455	618	1159	1732
PF3D7_1350000	85	137	120	178	283	262	355	388
PF3D7_1142700	156	946	1567	2623	2286	1621	2038	1236
PF3D7_1111600	26	10	13	5	7	16	87	203
PF3D7_1012800	63	48	39	27	117	362	691	654
PF3D7_0409500	211	70	31	50	35	420	3107	3804
PF3D7_0218500	707	1706	1690	2850	2148	2291	2912	3394
PF3D7_0720900	203	116	59	91	317	730	2068	2298
PF3D7_1308200	12803	29948	38611	62014	56707	47219	49375	32193
PF3D7_1302000	7789	21985	19289	25268	13956	7332	4051	1165
PF3D7_0222200	0	0	1	0	0	0	0	0
PF3D7_1241800	3845	7548	8139	11275	8538	7180	6119	3879
PF3D7_1032600	30	18	95	48	94	100	274	452
PF3D7_1025600	56	20	23	6	44	369	1156	787
PF3D7_1219700	13	14	1	7	1	5	13	4
PF3D7_0531500	5	1	1	10	14	22	31	74
PF3D7_1039000	932	4401	8766	13155	15436	9771	2483	488
PF3D7_1364400	2064	3042	3795	5669	5125	3749	5115	6091
PF3D7_0323700	3422	4033	4304	4747	3522	2794	4233	6499
PF3D7_1337600	1	0	0	0	0	0	5	6
PF3D7_0208600	368	68	27	57	555	1324	2807	4009
PF3D7_1027600	35	6	12	26	114	165	269	622
PF3D7_0928150	6	7	5	3	2	1	0	6
PF3D7_0713100	0	0	0	0	0	0	0	1
PF3D7_0908000	1022	205	345	539	259	309	1277	4739
PF3D7_1203900	8122	5881	3168	5831	5131	5887	7089	6842
PF3D7_0618800	109	23	15	20	506	1090	1905	1796
PF3D7_1254600	0	0	0	0	0	2	0	0
PF3D7_0210900	2702	3137	4332	4811	7012	6101	9761	10005
PF3D7_1224400	1562	2833	4004	3590	3227	2164	2167	1209
PF3D7_1369700	283	249	288	357	302	274	401	538
PF3D7_0306200	53	191	429	1052	1741	1684	2493	1425
PF3D7_1239500	182	60	15	29	207	500	1197	2910
PF3D7_1478800	871	655	669	762	451	135	58	120
PF3D7_1427500	128	23	24	71	378	1392	4290	4496
PF3D7_0627100	9379	7375	6011	6474	3857	3940	5735	7508
PF3D7_1009300	225	543	489	678	673	940	1967	2302
PF3D7_1113600	588	575	670	740	621	475	759	1361
PF3D7_0804900	3202	1382	1164	1284	1371	1180	1932	3978
PF3D7_1146600	14848	2701	509	341	514	1109	2363	4977
PF3D7_1368100	831	332	454	1255	1656	2207	4129	6697
PF3D7_0316300	1486	341	138	117	725	3292	11348	23161
PF3D7_1467600	1311	3088	6708	25200	20438	14393	15675	11089
PF3D7_1432600	93	306	580	999	782	897	1775	1751
PF3D7_1102700	41893	31530	15358	19037	4228	1676	963	361
PF3D7_1111200	105	453	738	968	876	1033	1335	668
PF3D7_1316400	5	3	1	0	7	9	31	14
PF3D7_0714000	24884	8900	6655	9495	6286	6167	19249	68243
PF3D7_0816900	2	4	6	6	2	6	23	21
PF3D7_1343100	2730	311	95	43	43	293	2131	9007
PF3D7_0932600	40	14	7	10	131	296	627	1113
PF3D7_0307100	1078	3726	6291	11003	10361	9333	11676	9424
PF3D7_0900900	0	0	0	0	0	0	1	0
PF3D7_0111600	48	114	386	892	754	627	1032	1028
PF3D7_0924200	98	196	424	854	988	931	1381	1274
PF3D7_0405300	40	82	82	201	63	59	42	75
PF3D7_1401600	21960	7507	7272	14875	3034	1534	1305	11316
PF3D7_1340900	11116	11881	8755	15190	6239	5383	7378	10743
PF3D7_0614900	2791	368	132	127	324	787	4316	14752
PF3D7_0209700	1774	3043	2544	3274	1562	1151	1442	1754
PF3D7_1227900	270	861	1519	2081	1611	1230	1507	799
PF3D7_1031200	2690	272	92	72	35	45	65	2122
PF3D7_1030400	47	96	69	192	35	33	61	58
PF3D7_0108800	215	78	138	340	504	545	1745	2140
PF3D7_1401700	8	4	0	0	5	8	18	16
PF3D7_1476600	373	1363	1717	3608	3053	2575	2606	2147
PF3D7_0415400	1810	1280	1545	1884	1576	1328	2978	5772
PF3D7_0626000	535	1524	3038	4369	2980	1978	3077	2739
PF3D7_1253300	1198	2703	1988	1107	325	209	245	100
PF3D7_0106400	150	808	1357	1811	1398	991	695	302
PF3D7_0603000	1453	1315	2151	2174	1554	1356	2135	3733
PF3D7_0610900	6107	8135	9163	9811	6886	5683	7472	7324
PF3D7_1105000	25770	18074	14607	18974	8689	9156	21130	51939
PF3D7_1338600	2073	470	112	97	590	1860	4758	7284
PF3D7_0722300	1079	2576	3119	3346	2371	2234	3269	2439
PF3D7_1410200	1262	5030	6457	10379	9159	7508	5006	1799
PF3D7_0606300	90	11	17	6	3	3	9	116
PF3D7_0525800	28582	5088	1012	289	89	187	105	650
PF3D7_1026200	12	6	10	13	381	615	950	453
PF3D7_1347900	104	32	21	22	193	856	2526	2692
PF3D7_1200700	93703	137249	73614	26895	2992	2093	2056	977
PF3D7_1317800	4086	16511	19488	37225	22327	18128	20357	18442
PF3D7_0200500	0	0	1	0	0	0	0	1
PF3D7_1010500	24	34	27	25	3	0	3	19
PF3D7_1243800	45	447	867	1428	1203	1175	1641	945
PF3D7_1301400	1078	13384	42430	84978	19087	3725	1715	578
PF3D7_0821000	698	77	24	15	112	505	1496	4090
PF3D7_0526300	289	754	1050	1265	862	602	685	654
PF3D7_0803600	2630	1146	1366	1807	1296	1229	3130	7578
PF3D7_0732400	0	0	1	1	2	0	0	0
PF3D7_1338800	116	111	70	98	206	707	1246	510
PF3D7_1203500	1483	3525	3932	3146	1708	1836	2968	2009
PF3D7_1147000	108	25	11	3	5	6	32	459
PF3D7_1029800	228	50	19	20	347	1080	2989	3124
PF3D7_0419100	26	11	9	32	87	182	307	272
PF3D7_0401100	0	0	0	0	0	0	0	0
PF3D7_1448700	96	178	254	298	362	288	297	360
PF3D7_1445300	50	66	37	42	90	282	1049	822
PF3D7_0213600	79	79	84	119	77	253	635	355
PF3D7_1454400	4872	7127	8076	13616	18042	16438	16111	12057
PF3D7_0717300	2965	963	682	2145	1908	1576	1915	2120
PF3D7_0609400	551	377	631	2082	3063	2716	3933	2775
PF3D7_0509100	1592	323	140	132	330	2048	9859	21010
PF3D7_1470500	272	104	103	89	39	86	864	1366
PF3D7_1030200	16393	3064	578	348	117	165	209	2003
PF3D7_1217100	91	121	151	173	136	118	177	163
PF3D7_0717600	1041	162	65	40	42	349	1663	4966
PF3D7_1312300	29	10	7	5	37	185	375	467
PF3D7_0701600	0	1	0	1	6	7	3	0
PF3D7_1463500	787	1394	1111	567	171	203	1025	1438
PF3D7_0414000	424	168	124	174	1126	2865	7738	10218
PF3D7_1212000	104	57	110	232	417	771	2522	4182
PF3D7_1404900	12388	6639	4172	4644	3486	3428	5080	5446
PF3D7_0316900	4528	2023	1830	1994	1552	1393	2178	3202
PF3D7_1115000	406	81	30	34	449	1439	2892	3002
PF3D7_0501900	121	208	314	404	366	375	1137	2081
PF3D7_1131500	12	12	11	13	6	13	22	13
PF3D7_0610000	91	42	16	22	68	441	1067	1185
PF3D7_1122400	631	1509	2005	2085	1636	1500	2650	2680
PF3D7_1115300	195	1749	3307	5765	3081	1898	1544	549
PF3D7_0811300	46630	54501	49249	45855	20991	14662	24140	46536
PF3D7_1458600	1858	2851	3084	3029	2297	1766	2712	3698
PF3D7_1025500	341	177	168	240	168	743	2435	1981
PF3D7_1456700	398	978	1533	1847	1410	1501	3084	4621
PF3D7_0529300	38	12	4	28	177	252	619	798
PF3D7_0526400	222	48	27	18	63	119	607	1953
PF3D7_0604000	45	24	23	31	241	578	691	324
PF3D7_1305900	250	129	248	712	1800	1944	1913	1312
PF3D7_1426400	12	0	6	0	0	3	15	191
PF3D7_1141000	16	8	38	37	12	8	66	142
PF3D7_1433800	675	105	53	121	620	1204	3595	8065
PF3D7_0303800	153	30	12	44	552	702	1105	1372
PF3D7_API01700	0	0	0	0	0	1	6	17
PF3D7_1472600	2396	297	98	65	63	137	358	1319
PF3D7_0525300	1245	171	37	19	13	34	183	173
PF3D7_1401500	53	108	600	2149	1638	458	468	222
PF3D7_0702200	4963	2665	1895	1575	565	245	252	116
PF3D7_0830500	77888	112892	64429	18867	1953	1230	732	444
PF3D7_0502300	10	7	7	5	5	3	0	14
PF3D7_1425800	721	167	94	92	160	314	1705	5424
PF3D7_1120200	1816	757	1031	1272	1359	1305	2592	6228
PF3D7_0727200	719	2998	2541	3285	2115	1833	1308	498
PF3D7_1425000	7	9	16	30	37	38	22	25
PF3D7_1445800	37	24	23	26	26	23	198	511
PF3D7_1405300	271	60	95	295	521	576	1543	2230
PF3D7_1116200	36	362	475	600	276	239	209	119
PF3D7_1119700	3599	947	483	287	233	233	508	1266
PF3D7_1471600	28	54	27	50	34	23	55	66
PF3D7_0519500	973	487	927	6762	8714	9238	13021	10454
PF3D7_1126100	97	35	25	97	190	469	1397	1923
PF3D7_1101400	0	2	3	0	0	0	0	0
PF3D7_API03900	0	0	0	0	0	0	0	0
PF3D7_1431900	430	98	43	28	16	39	188	919
PF3D7_1234200	861	184	98	204	1341	2181	4880	7152
PF3D7_1104300	566	201	152	338	1731	4118	11528	13214
PF3D7_1337800	10312	3158	795	318	110	75	77	150
PF3D7_1440200	61	17	20	175	656	1109	1976	1647
PF3D7_1119000	246	118	189	689	1724	2202	4751	6046
PF3D7_1440300	19	10	8	51	198	296	443	349
PF3D7_1361500	8375	1211	226	79	25	140	264	1692
PF3D7_0513200	2920	6381	8596	10603	7170	6613	11057	11809
PF3D7_0109800	434	1510	1808	2683	1626	1365	2214	2769
PF3D7_1120100	1606	17411	26258	67153	27883	33603	50786	36115
PF3D7_0604500	42563	43718	42302	44982	34082	29024	44664	52868
PF3D7_1231200	4744	1019	305	96	35	51	174	119
PF3D7_1225900	84	24	17	64	282	398	1262	2430
PF3D7_1235900	1519	5178	6215	6754	4925	4598	7589	7889
PF3D7_1333000	133	232	341	2046	2739	3640	4696	2838
PF3D7_0914000	128	327	502	799	837	860	894	396
PF3D7_1016400	881	2956	3559	5678	7457	6464	7345	3515
PF3D7_0108400	676	643	545	827	795	638	752	755
PF3D7_0817700	14860	1624	351	206	100	246	553	14723
PF3D7_0607300	64	35	29	15	28	236	1094	764
PF3D7_0111500	3113	329	156	171	718	1979	3976	5711
PF3D7_1103300	0	0	0	0	2	1	1	5
PF3D7_0101500	0	0	0	0	0	0	0	1
PF3D7_1348400	621	392	242	440	2733	4314	8598	9151
PF3D7_1243300	11	7	0	2	2	4	10	10
PF3D7_1228000	73	48	34	67	89	302	813	927
PF3D7_1314700	170	111	58	169	1071	1825	2781	2741
